PERDEDOR =====> APUESTA

MACO =====> Sacar las cosas del lava-vajillas y ordenar la cocina
FACU =====> Selfie con los caballos
MACO =====> Sacar la basura y sacarse una selfie en mc donalds
FACU =====> ayudar al pequi a hacer el matambre
RAMA =====> ir a buscar al abuelo a lo de Alberto
FACU =====> quien acompa�a al abuelo a comprar pan y coca cola
MACO =====> hacer la guarnicion para el matambre del abuelo
FACU =====> hacer te y lavar todo
MACO =====> hacer la merienda
FACU =====> lavar los platos
RAMA =====> lavar
RAMA =====> Lavar las ollas
RAMA =====> cocinar y lavar todo
FACU =====> estar una hora atrapado en la pileta
RAMA =====> subir las escaleras de la pileta 50 veces
MACO =====> cocinar
FACU =====> guardar todo y ocuparse de la cena
FACU =====> lavar todo a mano y sacar la basura
FACU =====> lavar la fuente de milanesas
RAMA =====> estar una hora encerrado en la pileta con cuqui
RAMA =====> ayudar al abuelo a armar el arbolito
FACU =====> robar un limon o tirarse a la pileta
FACU =====> robar un limon o tirarse a la pileta
